0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:10 +0900] "GET /favicon.ico HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:11 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:11 +0900] "GET /ShoppingMall/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:11 +0900] "GET /ShoppingMall/js/library/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:11 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:25 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:25 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:29 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:29 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:29 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:29 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
